id,latitude,longitude,type
289,44.9371325,-91.3932118,city
290,37.2769484,-107.8766,city
291,37.39221,-107.57023,recarea
292,37.22383,-107.85656,recarea
293,37.65015,-108.73666,recarea
294,37.00931,-107.40727,recarea
295,37.47595,-108.88687,recarea
296,37.34942,-108.4955,recarea
297,37.58476,-108.9201,recarea
298,37.39992,-108.26143,recarea
299,44.0806041,-103.228023,city
300,44.059,-103.741,recarea
301,38.9742502,-94.6851702,city
302,40.4848003,-106.831735,city
303,40.45469,-106.91795,recarea
304,40.47664,-107.96565,recarea
305,40.11734,-106.39157,recarea
306,40.14214,-105.95279,recarea
307,39.7686055,-94.8466322,city
308,40.8088861,-96.7077751,city
309,40.517246,-99.216898,recarea
310,41.30822,-98.87373,recarea
311,38.577359,-92.1724265,city
312,42.4966815,-96.4058782,city
313,43.86669922,-95.11669922,recarea
314,40.5861322,-98.3898883,city
315,41.48795,-99.23968,recarea
316,40.066867,-99.211112,recarea
317,41.838522,-99.203207,recarea
318,41.41794,-98.76631,recarea
319,40.38269,-100.20561,recarea
320,39.80843,-99.96389,recarea
321,42.6829765,-89.0226793,city
322,38.8838856,-94.81887,city
323,39.7392364,-104.984862,city
324,44.1634663,-93.9993505,city
325,38.7902503,-90.7033292,city
326,41.2587459,-95.9383758,city
327,38.8339578,-104.825348,city
328,41.6612561,-91.5299106,city
329,39.246479,-94.419079,city
330,41.0195659,-92.4116886,city
331,39.7405111,-104.830994,city
332,39.1134562,-94.626497,city
333,41.5235808,-90.5770967,city
334,43.5909294,-96.5874544,city
335,38.8114364,-89.953157,city
336,40.699478,-99.081858,city
337,40.36448,-100.65649,recarea
338,40.14976,-101.06326,recarea
339,41.1238873,-100.7654232,city
340,42.893222,-100.476967,recarea
341,42.8772,-100.5527,recarea
342,40.43591,-101.5212,recarea
343,42.59928,-100.88844,recarea
344,42.7795273,-96.929101,city
345,36.3330154,-94.1166283,city
346,36.1867442,-94.1288142,city
347,36.6440772,-93.2169256,city
348,39.2214765,-94.5719748,city
349,41.5910323,-93.6046655,city
350,42.0283379,-97.4169964,city
351,40.5871782,-105.0770113,city
352,41.258841,-95.8519484,city
353,44.899211,-97.115289,city
354,41.5058344,-90.5136642,city
355,41.862302,-103.6627088,city
356,43.70953,-98.025379,city
357,44.03833,-99.44667,recarea
358,41.5095446,-90.5792031,city
359,41.5644476,-93.7594059,city
360,41.4338363,-96.4960449,city
361,38.5135805,-89.9841627,city
362,38.0608444,-97.9297743,city
363,41.311367,-105.591101,city
364,46.8791756,-102.7896242,city
365,45.982675,-103.244696,recarea
366,44.36308,-98.214388,city
367,36.3967623,-97.8791341,city
368,36.1563122,-95.9927516,city
369,40.266429,-96.747369,city
370,39.1836082,-96.5716694,city
371,44.311461,-96.79844,city
372,39.7085736,-105.0846694,city
373,44.3683644,-100.351136,city
374,44.451133,-100.384696,recarea
375,37.9716898,-100.8726618,city
376,41.4292988,-97.3581439,city
377,46.7729322,-92.1251218,city
